Značka,Název,Cena,Úhlopříčka,Rozlišení,RAM (GB),Disk (GB),SSD,CPU
HP,HP EliteBook 630 G11,27490,13.3,1920x1200,16,512.0,1,Intel Ultra 5-125U
Lenovo,Lenovo ThinkBook 14 G7 ARP,20990,14,1920x1200,16,512.0,1,AMD Ryzen 5-7535HS
Lenovo,IdeaPad Slim 5 16ABR8,19890,16,1920x1200,16,1000.0,1,AMD Ryzen 7-7730U
Lenovo,IdeaPad Slim 3 15IAN8,11989,15.6,1920x1080,8,512.0,1,Intel i3-N305
Umax,VisionBook 15Wj Plus,5990,15.6,1920x1080,4,128.0,1,Intel Celeron N5100
Lenovo,Lenovo LOQ 15AHP9,25989,15.6,1920x1080,16,1000.0,1,AMD Ryzen 7-8845HS
ASUS,TUF Gaming A14 FA401WV-RG046X Jaeger,48988,14,2560x1600,32,1000.0,1,AMD Ryzen AI 9-HX370
Lenovo,Lenovo LOQ 15IAX9I,19463,15.6,1920x1080,16,1000.0,1,Intel i5-12450HX
Dell,Dell Latitude 5440,32990,14,1920x1080,16,512.0,1,Intel i7-1365U
HP,HP Pavilion Aero 13-bg0433nc Sky,24990,13.3,1920x1200,16,1000.0,1,AMD Ryzen 5-8640U
MacBook,Air CZ 2024,39890,15.3,2880x1864,16,512.0,1,Apple M3
HP,HP 15-fd0964nc Moonlight,13990,15.6,1920x1080,16,512.0,1,Intel i5-1334U
Lenovo,Lenovo Legion 5 16IRX9,26303,16,2560x1600,16,512.0,1,Intel i5-13450HX
ASUS,ROG Zephyrus G14 GA403UV-NEBULA021W Platinum,58937,14,2880x1800,32,1000.0,1,AMD Ryzen 9-8945HS
MSI,MSI Summit E16 AI Studio A1VETG-023CZ,45990,16,2560x1600,32,1000.0,1,Intel Ultra 7-155H
Lenovo,IdeaPad Slim 3 15IAH8,12989,15.6,1920x1080,8,512.0,1,Intel i5-12450H
HP,HP Pavilion 16-af0902nc Sky,24990,16,2048x1280,16,1000.0,1,Intel Ultra 5-125U
HP,HP 17-cn4902nc,22590,17.3,1920x1080,16,1000.0,1,Intel Core 5-120U
Acer,Acer Predator Helios Neo 16 Abyssal,39990,16,2560x1600,32,1000.0,1,Intel i9-14900HX
Lenovo,Lenovo Legion Slim 5 14APH8,41989,14.5,2880x1800,32,1000.0,1,AMD Ryzen 7-7840HS
ASUS,Vivobook 15 OLED M1505YA-OLED390W,18490,15.6,1920x1080,16,1000.0,1,AMD Ryzen 5-7430U
ASUS,Zenbook A14 UX3407QA-OLED267W Iceland,24990,14,1920x1200,16,512.0,1,Snapdragon X X1-26-100
Acer,Chromebook 311,5990,11.6,1366x768,4,128.0,1,Intel Celeron N4500
Lenovo,IdeaPad Duet 3 11IAN8 Lenovo,14989,11.5,2000x1200,8,128.0,1,Intel Processor N200
Lenovo,IdeaPad 1 14ALC7,14190,14,1920x1080,16,512.0,1,AMD Ryzen 7-5700U
Dell,Dell Latitude 5550,32990,15.6,1920x1080,16,512.0,1,Intel Ultra 7-165U
Dell,Dell Vostro 5640,25990,16,1920x1200,16,1000.0,1,Intel Core 5-120U
HP,HP 14-em0930nc,10990,14,1920x1080,8,512.0,1,AMD Ryzen 3-7320U
Lenovo,IdeaPad 1 14ALC7,12989,14,1920x1080,16,512.0,1,AMD Ryzen 5-5500U
Lenovo,Yoga 7 2-in-1 14IML9 Lenovo,27989,14,2880x1800,16,1000.0,1,Intel Ultra 5-125H
Lenovo,Yoga Pro 7 14AHP9 Tidal Teal,31989,14.5,3072x1920,16,1000.0,1,AMD Ryzen 7-8845HS
ASUS,Zenbook A14 UX3407RA-OLED026X Iceland,37990,14,1920x1200,32,1000.0,1,Snapdragon X Elite X1E-78-100
Lenovo,IdeaPad 3 17IAU7,17989,17.3,1920x1080,16,512.0,1,Intel i5-1235U
Lenovo,Yoga Slim 7 14Q8X9 Cosmic,41989,14.5,2944x1840,32,1000.0,1,Snapdragon X Elite X1E-78-100
Lenovo,Lenovo Legion Slim 5 16AHP9,37882,16,2560x1600,16,1000.0,1,AMD Ryzen 7-8845HS
Macbook,Air CZ 2020,25615,13.3,2560x1600,16,256.0,1,Apple M1
ASUS,Vivobook 16X K3604VA-MB161W Indie,19989,16,1920x1200,16,1000.0,1,Intel i7-1355U
Lenovo,IdeaPad Gaming 3 15ACH6 Shadow,15989,15.6,1920x1080,16,512.0,1,AMD Ryzen 5-5500H
ASUS,Vivobook 15X OLED K3504VA-OLED513W Indie,20990,15.6,2880x1620,16,512.0,1,Intel i5-1335U
Lenovo,Lenovo LOQ 15IRX9,29989,15.6,2560x1440,16,1000.0,1,Intel i7-13650HX
Lenovo,IdeaPad Slim 5 16IRL8,17989,16,1920x1200,16,512.0,1,Intel i5-13420H
HP,ProBook 460 G11,32990,16,1920x1200,32,1000.0,1,Intel Ultra 7-155U
Lenovo,IdeaPad 5 2-in-1 14Q8X9 Lenovo,23736,14,1920x1200,16,1000.0,1,Snapdragon X Plus X1P-42-100
Lenovo,IdeaPad Pro 5 16IMH9,26989,16,2560x1600,32,1000.0,1,Intel Ultra 7-155H
VICTUS,VICTUS by HP 15-fa1954nc Mica,29990,15.6,1920x1080,16,1000.0,1,Intel i7-13700H
Lenovo,Lenovo ThinkPad E16 Gen 2,30990,16,1920x1200,32,1000.0,1,Intel Ultra 7-155H
Microsoft,Surface Laptop7th Edition,29990,13.8,2304x1536,16,256.0,1,Snapdragon X Plus X1P-64-100
MacBook,Air CZ 2025,48990,15.3,2880x1864,24,512.0,1,Apple M4
Umax,VisionBook 15WJ,5890,15.6,1920x1080,4,128.0,1,Intel Celeron N4500
Lenovo,Yoga Slim 7 14Q8X9 Cosmic,32516,14.5,2944x1840,16,512.0,1,Snapdragon X Elite X1E-78-100
Lenovo,IdeaPad Slim 5 16AHP9,25989,16,2048x1280,16,1000.0,1,AMD Ryzen 7-8845HS
Lenovo,IdeaPad Slim 3 14M868,8699,14,1920x1080,8,128.0,1,MediaTek Kompanio 520
Lenovo,Lenovo LOQ 15IRX9,22989,15.6,1920x1080,16,1000.0,1,Intel i5-13450HX
Lenovo,IdeaPad Slim 3 15ABR8,17989,15.6,1920x1080,16,1000.0,1,AMD Ryzen 7-7730U
Lenovo,Lenovo LOQ 15ARP9,26599,15.6,1920x1080,24,512.0,1,AMD Ryzen 7-7435HS
VICTUS,VICTUS by HP 15-fa0931nc Mica,21990,15.6,1920x1080,16,1000.0,1,Intel i5-12450H
Lenovo,IdeaPad Pro 5 14APH8,18989,14,2240x1400,16,512.0,1,AMD Ryzen 5-7640HS
Acer,Aspire 5 15 Steel,18849,15.6,2560x1440,16,1000.0,1,AMD Ryzen 7-7730U
Dell,Dell Vostro 5640,22290,16,1920x1200,16,512.0,1,Intel Core 5-120U
ASUS,Vivobook S 16 S5606CA-OLED060X Mist,29990,16,2880x1800,16,1000.0,1,Intel Ultra 7-255H
ASUS,TUF Gaming A15 FA506NC-HN001W,19988,15.6,1920x1080,16,512.0,1,AMD Ryzen 5-7535HS
